url,Property ID,Locality name,Postal code,Subtype of property,Open Fire,Price,Construction year,Building condition,Outdoor parking spaces,Living area,Kitchen type,Bedrooms,Bathrooms,Terrace surface,Elevator,Energy class,Heating type,Double glazing,Flood zone type,Tenement building,Furnished,Surface of the plot,Garden surface,Number of frontages,Swimming pool,Accessible for disabled people,Covered parking spaces,Shower rooms
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/11135035,11135035,berchem,2600,apartment,0.0,"240,000",1967,Good,1,90,Installed,2,1,2,No,C,,Yes,Nonfloodzone,No,,,,2,,,1,
https://www.immoweb.be/en/classified/house/for-sale/verviers/4800/11135033,11135033,verviers,4800,house,0.0,"157,500",,Good,,126,Installed,4,1,4,No,B,Gas,Yes,Nonfloodzone,No,No,42,,2,No,No,,1
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11135031,11135031,ixelles,1050,apartment,0.0,"440,000",1988,Justrenovated,,128,,3,2,19,Yes,C,,,Nonfloodzone,No,,,,2,No,Yes,,
https://www.immoweb.be/en/classified/house/for-sale/kruibeke/9150/11135030,11135030,kruibeke,9150,house,0.0,"204,000",,Torenovate,,113,Installed,2,1,25,,F,Electric,Yes,Nonfloodzone,No,,220,160,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/heusden-zolder/3550/11135029,11135029,heusden-zolder,3550,house,0.0,"329,000",1970,,,414,,3,1,,,D,Gas,Yes,Nonfloodzone,No,,934,,4,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11112325,11112325,ixelles,1050,apartment,0.0,"495,000",1930,Asnew,,100,USAhyperequipped,2,1,4,,C,Gas,Yes,Nonfloodzone,No,,,,2,,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/gent/9000/11133708,11133708,gent,9000,penthouse,0.0,"1,100,000",2020,Asnew,1,179,Installed,3,2,39,Yes,Notspecified,Gas,Yes,Nonfloodzone,No,,,,2,No,No,1,
https://www.immoweb.be/en/classified/apartment/for-sale/la-louviere/7100/11118166,11118166,la-louviere,7100,apartment,0.0,"119,000",1965,Good,,122,Semiequipped,2,1,,Yes,C,Gas,,,No,,,,2,No,Yes,1,
https://www.immoweb.be/en/classified/apartment/for-sale/fleron/4620/11118266,11118266,fleron,4620,apartment,0.0,"135,000",1972,Good,,53,Installed,1,1,8,Yes,C,Gas,Yes,Nonfloodzone,No,No,,,2,No,No,,
https://www.immoweb.be/en/classified/apartment/for-sale/leuze-en-hainaut/7900/10218354,10218354,leuze-en-hainaut,7900,apartment,0.0,"168,793",2022,Asnew,8,59,Notinstalled,1,1,7,No,B,,,,No,No,,,,,Yes,,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/11117981,11117981,liege,4000,apartment,0.0,"175,000",,Good,,67,Semiequipped,1,1,,Yes,D,Gas,Yes,,No,,,,2,No,No,,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/10869105,10869105,liege,4000,apartment,0.0,"199,000",2021,Asnew,1,62,Installed,1,1,5,Yes,B,,Yes,,No,No,,,2,No,No,,1
https://www.immoweb.be/en/classified/service-flat/for-sale/dilbeek/1700/10593603,10593603,dilbeek,1700,service-flat,0.0,"215,000",2015,Asnew,1,87,Hyperequipped,1,1,14,Yes,B,Gas,Yes,,No,No,,,2,,Yes,1,1
https://www.immoweb.be/en/classified/apartment/for-sale/zele/9240/11118078,11118078,zele,9240,apartment,0.0,"228,000",,Good,,102,Installed,2,1,12,,C,Electric,Yes,Nonfloodzone,No,,,,2,,,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/woluwe-saint-lambert/1200/11012762,11012762,woluwe-saint-lambert,1200,flat-studio,0.0,"244,200",2024,Asnew,1,47,USAhyperequipped,,1,,Yes,B,,Yes,Nonfloodzone,No,No,,,2,No,Yes,1,1
https://www.immoweb.be/en/classified/apartment/for-sale/denderleeuw/9470/11118524,11118524,denderleeuw,9470,apartment,0.0,"249,000",2005,Good,,98,Installed,2,1,2,,B,,Yes,,No,No,,,4,No,No,1,
https://www.immoweb.be/en/classified/apartment/for-sale/iddergem/9472/11118526,11118526,iddergem,9472,apartment,0.0,"249,000",2005,Good,,98,Installed,2,1,2,,B,,Yes,,No,No,,,4,No,No,1,
https://www.immoweb.be/en/classified/apartment/for-sale/welle/9473/11118527,11118527,welle,9473,apartment,0.0,"249,000",2005,Good,,98,Installed,2,1,2,,B,,Yes,,No,No,,,4,No,No,1,
https://www.immoweb.be/en/classified/apartment/for-sale/soignies/7060/11079676,11079676,soignies,7060,apartment,0.0,"262,000",2024,,,89,Installed,2,,10,Yes,A,Gas,Yes,Nonfloodzone,No,,,,4,,,1,1
https://www.immoweb.be/en/classified/flat-studio/for-sale/auderghem/1160/11063566,11063566,auderghem,1160,flat-studio,0.0,"262,500",2023,Asnew,1,48,USAsemiequipped,,,8,Yes,A,,Yes,Nonfloodzone,No,No,,,,No,No,,1
https://www.immoweb.be/en/classified/apartment/for-sale/ronse/9600/10985257,10985257,ronse,9600,apartment,0.0,"265,000",2022,Asnew,1,114,Hyperequipped,2,1,7,Yes,A,,Yes,Possiblefloodzone,No,No,,,2,No,Yes,,1
https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/11068828,11068828,bruxelles,1000,flat-studio,0.0,"290,000",2025,Asnew,1,55,USAhyperequipped,,,5,Yes,B,,Yes,Nonfloodzone,No,No,,,2,No,Yes,,1
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/11074348,11074348,uccle,1180,apartment,0.0,"299,000",2022,Asnew,4,96,USAhyperequipped,1,1,,No,C,,Yes,Possiblefloodzone,No,No,,,,No,No,,
https://www.immoweb.be/en/classified/service-flat/for-sale/dilbeek/1700/10593605,10593605,dilbeek,1700,service-flat,0.0,"299,000",2015,Asnew,1,118,Hyperequipped,2,1,13,Yes,B,Gas,Yes,,No,No,,,2,,Yes,1,1
https://www.immoweb.be/en/classified/ground-floor/for-sale/wemmel/1780/10945948,10945948,wemmel,1780,ground-floor,0.0,"299,000",2022,Asnew,,94,Installed,2,1,22,Yes,A,Gas,Yes,Nonfloodzone,No,,,63,3,No,No,1,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11030899,11030899,anderlecht,1070,apartment,0.0,"307,000",2023,Asnew,113,83,USAhyperequipped,1,1,7,Yes,A,,Yes,Possiblefloodzone,No,No,,,2,No,Yes,113,1
https://www.immoweb.be/en/classified/apartment/for-sale/lede/9340/11006182,11006182,lede,9340,apartment,0.0,"309,000",2016,Asnew,1,115,USAhyperequipped,2,1,8,Yes,A,Gas,Yes,Possiblefloodzone,No,,,,2,No,,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/11012761,11012761,woluwe-saint-lambert,1200,apartment,0.0,"314,800",2024,Asnew,1,67,USAhyperequipped,1,1,8,Yes,A,,Yes,Nonfloodzone,No,No,,,2,No,Yes,1,1
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10743198,10743198,woluwe-saint-lambert,1200,apartment,0.0,"319,800",2025,Asnew,1,66,USAhyperequipped,1,1,6,Yes,A,,Yes,Nonfloodzone,No,No,,,2,No,Yes,,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11030900,11030900,anderlecht,1070,apartment,0.0,"324,457",2023,Asnew,113,94,USAhyperequipped,2,1,7,Yes,A,,Yes,Possiblefloodzone,No,No,,,2,No,Yes,113,1
https://www.immoweb.be/en/classified/service-flat/for-sale/dilbeek/1700/10593604,10593604,dilbeek,1700,service-flat,0.0,"330,000",2015,Asnew,1,128,Hyperequipped,2,2,26,Yes,B,Gas,Yes,,No,Yes,,,2,,Yes,1,2
https://www.immoweb.be/en/classified/flat-studio/for-sale/uccle/1180/11066286,11066286,uccle,1180,flat-studio,0.0,"335,000",2024,Asnew,13,57,USAhyperequipped,,1,10,Yes,B,,Yes,Nonfloodzone,No,No,,,2,No,Yes,,1
https://www.immoweb.be/en/classified/penthouse/for-sale/anderlecht/1070/11030897,11030897,anderlecht,1070,penthouse,0.0,"344,000",2023,Asnew,113,83,USAhyperequipped,1,1,26,Yes,B,,Yes,Possiblefloodzone,No,No,,26,2,No,Yes,113,1
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/11012772,11012772,evere,1140,apartment,0.0,"345,000",2022,Asnew,65,74,USAhyperequipped,1,1,19,Yes,A,,Yes,Possiblefloodzone,No,No,,,2,No,Yes,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/uccle/1180/11063563,11063563,uccle,1180,flat-studio,0.0,"346,000",2023,Asnew,1,57,USAhyperequipped,,,9,Yes,A,,,Nonfloodzone,No,No,,,2,No,No,,1
https://www.immoweb.be/en/classified/villa/for-sale/keerbergen/3140/11135028,11135028,keerbergen,3140,villa,0.0,"740,000",1995,,4,519,Hyperequipped,4,3,103,,D,Fueloil,Yes,Nonfloodzone,No,No,3606,,4,,,4,1
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11126587,11126587,anderlecht,1070,apartment,0.0,"190,000",,Justrenovated,,63,Installed,2,1,2,,E,Gas,Yes,Nonfloodzone,No,,,,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11126586,11126586,anderlecht,1070,apartment,0.0,"195,000",,Tobedoneup,,69,Installed,1,1,15,,F,Gas,Yes,Nonfloodzone,No,,,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/opwijk/1745/11135022,11135022,opwijk,1745,house,0.0,"319,000",1939,Torenovate,15,150,Semiequipped,3,1,,,F,Fueloil,Yes,Nonfloodzone,No,,901,,3,,,9,
https://www.immoweb.be/en/classified/loft/for-sale/opwijk/1745/11135018,11135018,opwijk,1745,loft,0.0,"319,000",1939,Torenovate,15,150,Semiequipped,3,1,,,F,Fueloil,Yes,Nonfloodzone,No,,,,3,,,9,
https://www.immoweb.be/en/classified/house/for-sale/opwijk/1745/11135017,11135017,opwijk,1745,house,0.0,"379,000",1966,Torenovate,1,170,Semiequipped,3,1,15,,F,Fueloil,Yes,Nonfloodzone,No,,862,,3,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/schaarbeek/1030/11135016,11135016,schaarbeek,1030,apartment,0.0,"220,000",1930,Tobedoneup,,70,Semiequipped,2,1,,,E,Gas,Yes,Nonfloodzone,No,,,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/mazenzele/1745/11135013,11135013,mazenzele,1745,house,0.0,"309,500",1930,Torenovate,2,180,Semiequipped,2,1,,,F,Gas,Yes,Nonfloodzone,No,,498,,3,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11135012,11135012,gent,9000,apartment,0.0,"295,000",1967,Good,,90,Semiequipped,2,1,,Yes,B,Gas,Yes,Nonfloodzone,No,,,,,,No,1,
https://www.immoweb.be/en/classified/villa/for-sale/luingne/7700/11135011,11135011,luingne,7700,villa,0.0,"319,000",1970,Good,1,245,Installed,4,1,,,F,Fueloil,Yes,,No,No,1194,,4,,,1,1
https://www.immoweb.be/en/classified/apartment/for-sale/sint-jans-molenbeek/1080/11135009,11135009,sint-jans-molenbeek,1080,apartment,0.0,"248,000",1976,Tobedoneup,2,105,Semiequipped,3,1,6,Yes,F,,Yes,Possiblefloodzone,No,No,,,3,No,No,2,
https://www.immoweb.be/en/classified/house/for-sale/tervuren/3080/11135005,11135005,tervuren,3080,house,0.0,"498,000",1991,,,290,,4,2,,,B,Gas,Yes,Nonfloodzone,No,No,560,,4,,,1,
